TestWorldCupTDD - Test Case Register
============================================================
Source: src(1).zip (updated TC numbering)
Register entries: 257
Validated Allure result: Re-run required after TC renumbering
============================================================

REGISTER_ID | CODE_TEST_ID | TEST_CLASS | TEST_METHOD | SOURCE_FILE | CATEGORY | RESULT | NOTES
REG-017 | TC-T017 | DatabaseTest | TC17_shouldSaveAndRetrieveSecondGroup | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-018 | TC-T018 | DatabaseTest | TC18_shouldSaveAndRetrieveSecondMatch | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-019 | TC-T019 | DatabaseTest | TC19_shouldSaveAndRetrieveSecondPlayer | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-020 | TC-T020 | DatabaseTest | TC20_shouldSaveAndRetrieveSecondMatchResult | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-021 | TC-T021 | GroupStageTest | TC21_shouldAccept32Teams | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-022 | TC-T022 | GroupStageTest | TC22_shouldRejectNon32TeamCount | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-023 | TC-T023 | GroupStageTest | TC23_shouldAcceptFourTeamsInGroup | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-024 | TC-T024 | GroupStageTest | TC24_shouldRejectNonFourTeamGroup | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-025 | TC-T025 | GroupStageTest | TC25_shouldAcceptThreeOpponents | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-026 | TC-T026 | GroupStageTest | TC26_shouldRejectInvalidOpponentCount | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-027 | TC-T027 | GroupStageTest | TC27_shouldGiveThreePointsForWin | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-028 | TC-T028 | GroupStageTest | TC28_shouldGiveOnePointForDraw | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-029 | TC-T029 | GroupStageTest | TC29_shouldGiveZeroPointsForLoss | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-030 | TC-T030 | GroupStageTest | TC30_shouldComparePointsFirst | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-031 | TC-T031 | GroupStageTest | TC31_shouldCompareGoalDifference | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-032 | TC-T032 | GroupStageTest | TC32_shouldCompareCards | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-033 | TC-T033 | GroupStageTest | TC33_shouldCompareHeadToHead | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-034 | TC-T034 | GroupStageTest | TC34_shouldCompareDrawLot | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-035 | TC-T035 | GroupStageTest | TC35_shouldCountOneRedCardAsTwoYellowCards | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-036 | TC-T036 | GroupStageTest | TC36_shouldNotCompareNextCriterionWhenCurrentDiffers | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-037 | TC-T037 | GroupStageTest | TC37_shouldCompareNextCriterionWhenCurrentIsEqual | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-038 | TC-T038 | GroupStageTest | TC38_shouldQualifyFirstPlace | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-039 | TC-T039 | GroupStageTest | TC39_shouldQualifySecondPlace | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-040 | TC-T040 | GroupStageTest | TC40_shouldReject31Teams | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-041 | TC-T041 | GroupStageTest | TC41_shouldAccept32TeamsAtBoundary | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-042 | TC-T042 | GroupStageTest | TC42_shouldReject33Teams | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-043 | TC-T043 | GroupStageTest | TC43_shouldRejectThreeTeamsInGroup | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-044 | TC-T044 | GroupStageTest | TC44_shouldAcceptFourTeamsAtBoundary | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-045 | TC-T045 | GroupStageTest | TC45_shouldRejectFiveTeamsInGroup | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-046 | TC-T046 | GroupStageTest | TC46_shouldRejectTwoOpponents | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-047 | TC-T047 | GroupStageTest | TC47_shouldAcceptThreeOpponentsAtBoundary | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-048 | TC-T048 | GroupStageTest | TC48_shouldRejectFourOpponents | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-049 | TC-T049 | GroupStageTest | TC49_shouldAcceptFirstPlace | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-050 | TC-T050 | GroupStageTest | TC50_shouldAcceptSecondPlace | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-051 | TC-T051 | GroupStageTest | TC51_shouldRejectThirdPlace | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-052 | TC-T052 | GroupStageTest | TC52_shouldReturnRedCards | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-053 | TC-T053 | GroupStageTest | TC53_shouldReturnEqualWhenPointsAreEqual | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-054 | TC-T054 | GroupStageTest | TC54_shouldReturnEqualWhenGoalDifferenceIsEqual | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-055 | TC-T055 | GroupStageTest | TC55_shouldReturnEqualWhenCardsAreEqual | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-056 | TC-T056 | GroupStageTest | TC56_shouldReturnEqualWhenHeadToHeadIsEqual | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-057 | TC-T057 | GroupStageTest | TC57_shouldReturnEqualWhenDrawLotRankIsEqual | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-058 | TC-T058 | GroupStageTest | TC58_shouldRejectPositionZero | src/test/java/com/testworldcup/testworldcuptdd/GroupStageTest.java | GroupStage | PASS* | 
REG-059 | TC-T059 | KnockoutStageTest | TC59_shouldAccept16TeamsInRoundOf16 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-060 | TC-T060 | KnockoutStageTest | TC60_shouldRejectInvalidRoundOf16TeamCount | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-061 | TC-T061 | KnockoutStageTest | TC61_shouldAcceptMatch1Pairing | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-062 | TC-T062 | KnockoutStageTest | TC62_shouldAcceptMatch2Pairing | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-063 | TC-T063 | KnockoutStageTest | TC63_shouldAcceptMatch3Pairing | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-064 | TC-T064 | KnockoutStageTest | TC64_shouldAcceptMatch4Pairing | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-065 | TC-T065 | KnockoutStageTest | TC65_shouldAcceptMatch5Pairing | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-066 | TC-T066 | KnockoutStageTest | TC66_shouldAcceptMatch6Pairing | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-067 | TC-T067 | KnockoutStageTest | TC67_shouldAcceptMatch7Pairing | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-068 | TC-T068 | KnockoutStageTest | TC68_shouldAcceptMatch8Pairing | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-069 | TC-T069 | KnockoutStageTest | TC69_shouldAcceptEightRoundOf16Winners | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-070 | TC-T070 | KnockoutStageTest | TC70_shouldAcceptFourQuarterfinalMatches | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-071 | TC-T071 | KnockoutStageTest | TC71_shouldAcceptFourSemifinalists | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-072 | TC-T072 | KnockoutStageTest | TC72_shouldAcceptTwoSemifinalMatches | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-073 | TC-T073 | KnockoutStageTest | TC73_shouldAcceptTwoFinalists | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-074 | TC-T074 | KnockoutStageTest | TC74_shouldGiveGoldMedalToWinner | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-075 | TC-T075 | KnockoutStageTest | TC75_shouldGiveSilverMedalToLoser | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-076 | TC-T076 | KnockoutStageTest | TC76_shouldGiveBronzeMedalsToTwoSemifinalLosers | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-077 | TC-T077 | KnockoutStageTest | TC77_shouldReject15Teams | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-078 | TC-T078 | KnockoutStageTest | TC78_shouldAccept16TeamsAtBoundary | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-079 | TC-T079 | KnockoutStageTest | TC79_shouldReject17Teams | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-080 | TC-T080 | KnockoutStageTest | TC80_shouldRejectSevenQuarterfinalWinners | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-081 | TC-T081 | KnockoutStageTest | TC81_shouldAcceptEightQuarterfinalWinnersAtBoundary | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-082 | TC-T082 | KnockoutStageTest | TC82_shouldRejectNineQuarterfinalWinners | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-083 | TC-T083 | KnockoutStageTest | TC83_shouldRejectThreeQuarterfinalMatches | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-084 | TC-T084 | KnockoutStageTest | TC84_shouldAcceptFourQuarterfinalMatchesAtBoundary | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-085 | TC-T085 | KnockoutStageTest | TC85_shouldRejectFiveQuarterfinalMatches | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-086 | TC-T086 | KnockoutStageTest | TC86_shouldRejectThreeSemifinalists | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-087 | TC-T087 | KnockoutStageTest | TC87_shouldAcceptFourSemifinalistsAtBoundary | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-088 | TC-T088 | KnockoutStageTest | TC88_shouldRejectFiveSemifinalists | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-089 | TC-T089 | KnockoutStageTest | TC89_shouldRejectWrongHomeTeamMatch1 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-090 | TC-T090 | KnockoutStageTest | TC90_shouldRejectWrongAwayTeamMatch1 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-091 | TC-T091 | KnockoutStageTest | TC91_shouldRejectWrongHomeTeamMatch2 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-092 | TC-T092 | KnockoutStageTest | TC92_shouldRejectWrongAwayTeamMatch2 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-093 | TC-T093 | KnockoutStageTest | TC93_shouldRejectWrongHomeTeamMatch3 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-094 | TC-T094 | KnockoutStageTest | TC94_shouldRejectWrongAwayTeamMatch3 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-095 | TC-T095 | KnockoutStageTest | TC95_shouldRejectWrongHomeTeamMatch4 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-096 | TC-T096 | KnockoutStageTest | TC96_shouldRejectWrongAwayTeamMatch4 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-097 | TC-T097 | KnockoutStageTest | TC97_shouldRejectWrongHomeTeamMatch5 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-098 | TC-T098 | KnockoutStageTest | TC98_shouldRejectWrongAwayTeamMatch5 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-099 | TC-T099 | KnockoutStageTest | TC99_shouldRejectWrongHomeTeamMatch6 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-100 | TC-T100 | KnockoutStageTest | TC100_shouldRejectWrongAwayTeamMatch6 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-101 | TC-T101 | KnockoutStageTest | TC101_shouldRejectWrongHomeTeamMatch7 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-102 | TC-T102 | KnockoutStageTest | TC102_shouldRejectWrongAwayTeamMatch7 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-103 | TC-T103 | KnockoutStageTest | TC103_shouldRejectWrongHomeTeamMatch8 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-104 | TC-T104 | KnockoutStageTest | TC104_shouldRejectWrongAwayTeamMatch8 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-105 | TC-T105 | KnockoutStageTest | TC105_shouldRejectFiveSemifinalists | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-106 | TC-T106 | KnockoutStageTest | TC106_shouldRejectThreeFinalists | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-107 | TC-T107 | KnockoutStageTest | TC107_shouldRejectThreeSemifinalLosers | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-108 | TC-T108 | KnockoutStageTest | TC108_shouldRejectThreeSemifinalMatches | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-109 | TC-T109 | KnockoutStageTest | TC109_shouldRejectZeroTeamsInRoundOf16 | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-110 | TC-T110 | KnockoutStageTest | TC110_shouldRejectNegativeRoundOf16TeamCount | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-111 | TC-T111 | KnockoutStageTest | TC111_shouldRejectZeroQuarterfinalWinners | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-112 | TC-T112 | KnockoutStageTest | TC112_shouldRejectSixQuarterfinalWinners | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-113 | TC-T113 | KnockoutStageTest | TC113_shouldRejectTenQuarterfinalWinners | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-114 | TC-T114 | KnockoutStageTest | TC114_shouldRejectZeroQuarterfinalMatches | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-115 | TC-T115 | KnockoutStageTest | TC115_shouldRejectSixQuarterfinalMatches | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-116 | TC-T116 | KnockoutStageTest | TC116_shouldRejectZeroSemifinalists | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-117 | TC-T117 | KnockoutStageTest | TC117_shouldRejectOneSemifinalist | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-118 | TC-T118 | KnockoutStageTest | TC118_shouldRejectSixSemifinalists | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-119 | TC-T119 | KnockoutStageTest | TC119_shouldRejectZeroSemifinalMatches | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-120 | TC-T120 | KnockoutStageTest | TC120_shouldRejectOneSemifinalMatch | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-121 | TC-T121 | KnockoutStageTest | TC121_shouldRejectZeroFinalists | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-122 | TC-T122 | KnockoutStageTest | TC122_shouldRejectOneFinalist | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-123 | TC-T123 | KnockoutStageTest | TC123_shouldRejectFourFinalists | src/test/java/com/testworldcup/testworldcuptdd/KnockoutStageTest.java | KnockoutStage | PASS* | 
REG-124 | TC-T124 | MatchTest | TC124_shouldAccept90MinuteMatch | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-125 | TC-T125 | MatchTest | TC125_shouldRejectNon90MinuteMatch | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-126 | TC-T126 | MatchTest | TC126_shouldAccept45MinuteHalf | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-127 | TC-T127 | MatchTest | TC127_shouldRejectNon45MinuteHalf | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-128 | TC-T128 | MatchTest | TC128_shouldAccept15MinuteBreak | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-129 | TC-T129 | MatchTest | TC129_shouldRejectBreakOver15Minutes | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-130 | TC-T130 | MatchTest | TC130_shouldAcceptZeroExtraTimeHalves | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-131 | TC-T131 | MatchTest | TC131_shouldAcceptUpToTwoExtraTimeHalves | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-132 | TC-T132 | MatchTest | TC132_shouldRejectMoreThanTwoExtraTimeHalves | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-133 | TC-T133 | MatchTest | TC133_shouldAccept30MinuteExtraHalf | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-134 | TC-T134 | MatchTest | TC134_shouldRejectNon30MinuteExtraHalf | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-135 | TC-T135 | MatchTest | TC135_shouldEndMatchAfterSilverGoal | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-136 | TC-T136 | MatchTest | TC136_shouldContinueWhenScoresAreEqual | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-137 | TC-T137 | MatchTest | TC137_shouldFindWinnerAfterFivePenalties | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-138 | TC-T138 | MatchTest | TC138_shouldRequireSuddenDeathAfterFivePenalties | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-139 | TC-T139 | MatchTest | TC139_shouldKeepPlayerAfterFirstYellowCard | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-140 | TC-T140 | MatchTest | TC140_shouldRemovePlayerAfterSecondYellowCard | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-141 | TC-T141 | MatchTest | TC141_shouldRemovePlayerAfterRedCard | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-142 | TC-T142 | MatchTest | TC142_shouldAcceptSevenPlayersOnField | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-143 | TC-T143 | MatchTest | TC143_shouldRejectSixPlayersOnField | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-144 | TC-T144 | MatchTest | TC144_shouldAcceptThreeSubstitutions | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-145 | TC-T145 | MatchTest | TC145_shouldRejectMoreThanThreeSubstitutions | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-146 | TC-T146 | MatchTest | TC146_shouldAcceptOnePlayerPerSubstitution | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-147 | TC-T147 | MatchTest | TC147_shouldRejectInvalidSubstitutionBatch | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-148 | TC-T148 | MatchTest | TC148_shouldAllowAnyPlayerPositionForSubstitution | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-149 | TC-T149 | MatchTest | TC149_shouldAccept14MinuteBreak | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-150 | TC-T150 | MatchTest | TC150_shouldAccept15MinuteBreakAtBoundary | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-151 | TC-T151 | MatchTest | TC151_shouldReject16MinuteBreak | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
REG-152 | TC-T152 | MatchTest | TC152_shouldAcceptOneExtraTimeHalf | src/test/java/com/testworldcup/testworldcuptdd/MatchTest.java | Match | PASS* | 
